"","X","Y","X_ACC","Y_ACC","Z_ACC","X_GYR","Y_GYR","Z_GYR","status"
"4037",221.267,-59.346,0.9639999,0.165,0.682,80.58001,-8.901,17.115,"0"
"4038",222.099,-59.972,0.9610001,0.164,0.673,76.947,-5.267,21.634,"0"
"4039",223.126,-60.778,0.9599999,0.153,0.674,81.81701,-6.351,20.092,"0"
"4040",224.03,-61.357,0.963,0.161,0.672,80.489,-5.863,20.794,"0"
"4041",224.704,-61.966,0.9599999,0.153,0.673,81.267,-6.458,23.206,"0"
"4042",226.035,-62.583,0.9700001,0.155,0.665,81.71,-2.015,20.916,"0"
"4043",225.859,-63.375,0.9639999,0.144,0.664,81.252,-5.786,22,"0"
"4044",118.612,-7.357,-0.703,0.159,0.639,80.473,-5.45,17.969,"0"
"4045",127.952,-5.038,-0.707,0.161,0.638,80.794,-6.305,18.641,"0"
"4046",136.14,-2.805,-0.708,0.169,0.637,80.718,-6.427,17.573,"0"
"4047",143.21,-0.799,-0.709,0.167,0.635,81.03801,-6.534,18.687,"0"
"4048",150.051,1.072,-0.712,0.17,0.633,80.443,-6.458,17.069,"0"
"4049",157.305,2.714,-0.709,0.167,0.635,81.03801,-6.489,18.534,"0"
"4050",163.594,4.296,-0.71,0.173,0.635,80.473,-7.221,18.458,"0"
"4051",168.934,5.786,-0.709,0.155,0.639,80.59501,-6.84,18.214,"0"
"4052",173.707,7.083,-0.7059999,0.16,0.635,81.282,-6.366,18.153,"0"
"4053",178.447,8.237,-0.71,0.159,0.639,80.626,-6.901,16.901,"0"
"4054",183.333,9.492,-0.708,0.163,0.642,80.39701,-7.13,17.771,"0"
